,target,length,readability,bleu,rouge_recall,rouge_precision,rouge_F1,similarity_with_gt,similarity_wth_text
0,"Comedian Jenny Eclair travelled with her other half on a Painting In Venus break. We stayed in a nine-strong crew of wannabe artists and keen cooks. The holidays included wine with meals, five days of tuition and £100 towards flight costs.",41,5.1,0.0,0.3,0.35,0.32,0.5,0.49
1,"Shoshana Hebshi, of Sylvania, Ohio, was forced from a Detroit-area flight on the 10th anniversary of the 9/11 terrorist attacks. She has said she was ethnically profiled based on her dark complexion. The American Civil Liberties Union said the settlement will give her $40,000 as compensation for being humiliated.",49,9.6,0.0,0.52,0.37,0.43,0.77,0.79
2,Novak Djokovic lost his cool during the Miami Open final. The world No 1 shouted at his backroom team during the second set. Djokovic then issued an apology to the boy's parents via Facebook.,34,5.3,0.0,0.72,0.38,0.49,0.95,0.94
3,"ISIS released more than 200 Yazidis, a minority group whose members were killed, captured and displaced. Most of those released were women and children; the rest were ill or elderly, said Rassol Osman, a commander in the peshmerga force defending northern Iraq's semi-autonomous Kurdish region. ISIS steamrolled into northern Iraq last summer, forcing hundreds of thousands of minorities -- Yazidis among them -- from their homes.",66,10.4,0.0,0.2,0.69,0.31,0.97,0.98
4,"Two Scooby vans arrived at Capitol Fruit Company in Des Moines, Iowa on Tuesday. One is a GMC and the other is a white Suburban. Both vehicles have New York license plates but are mechanically identical. The Secret Service frequently deploys duplicates of vehicles it uses to transport VIPs.",49,8.1,0.0,0.5,0.31,0.38,0.98,0.98
5,Tim Swiel will return to Harlequins on a full-time deal. Swiel spent four months on loan with Sharks earlier this term. Swiel made 10 appearances for the Sharks during his loan spell.,32,3.9,0.0,0.59,0.52,0.55,0.98,0.99
6,Channel Ten show The Project has apologised after mistakenly using footage of the wrong comic on their program. Presenter Waleed Aly admitted to the embarrassing'stuff up' later on during the program after the mistake was flagged by gobsmacked Twitter users. Aly was the subject of a strikingly similar mix-up earlier this year. The Age incorrectly printed a photo of 'Legally Brown' comedy star Nazeem Hussain in its entertainment column with,70,11.3,0.0,0.42,0.52,0.47,0.99,0.99
7,Steven Gerrard's hopes of a fairytale ending to his Liverpool career were shattered. Liverpool lost 2-1 to Villa in the semi-finals of the FA Cup. Brendan Rodgers gave the midfielder a number of roles but he struggled with them.,39,6.0,0.0,0.44,0.33,0.37,1.0,1.0
8,"The Just Group have been petitioning Australian retailers to stop using angora wool. PETA revealed the cruel treatment of rabbits at angora farms in China. Morrissey, 55, has written a letter to The Just Group asking them to stop selling the fur. The retailer has said they are 'extremely disappointed' by the decision.",53,8.5,0.0,0.4,0.29,0.34,0.99,1.0
9,Manny Pacquiao has unveiled the colourful mouthpiece he will wear during his $300m fight with Floyd Mayweather Jnr. The song 'Lalaban Ako Para Sa Filipino' translates as 'I will fight for the Fillipino' Pacquiao ran along the trail at Griffith Park in Los Angeles on Friday night. He also worked hard on his core strength and showed off his footwork by shadow boxing.,63,7.9,0.0,0.31,0.5,0.38,1.0,1.0
